ID	TCGA-AA-3660-11A-01R-1723-07	TCGA-AA-3522-11A-01R-A32Z-07	TCGA-AA-3511-11A-01R-1839-07	TCGA-A6-2680-11A-01R-A32Z-07	TCGA-AA-3712-11A-01R-1723-07	TCGA-AZ-6603-11A-02R-1839-07	TCGA-A6-2678-11A-01R-A32Z-07	TCGA-AZ-6599-11A-01R-1774-07	TCGA-AA-3655-11A-01R-1723-07	TCGA-A6-5665-11A-01R-1653-07	TCGA-AA-3527-11A-01R-A32Z-07	TCGA-A6-2686-11A-01R-A32Z-07	TCGA-AA-3496-11A-01R-1839-07	TCGA-AA-3514-11A-01R-A32Z-07	TCGA-A6-5659-11A-01R-1653-07	TCGA-AZ-6600-11A-01R-1774-07	TCGA-AA-3663-11A-01R-1723-07	TCGA-A6-2684-11A-01R-A32Z-07	TCGA-AA-3662-11A-01R-1723-07	TCGA-A6-2675-11A-01R-1723-07	TCGA-A6-2679-11A-01R-A32Z-07	TCGA-A6-5667-11A-01R-1723-07	TCGA-AA-3531-11A-01R-A32Z-07	TCGA-A6-2671-11A-01R-A32Z-07	TCGA-AA-3713-11A-01R-1723-07	TCGA-AA-3520-11A-01R-A32Z-07	TCGA-A6-2682-11A-01R-A32Z-07	TCGA-AZ-6601-11A-01R-1774-07	TCGA-AZ-6605-11A-01R-1839-07	TCGA-A6-5662-11A-01R-1653-07	TCGA-AZ-6598-11A-01R-1774-07	TCGA-AA-3525-11A-01R-A32Z-07	TCGA-AA-3489-11A-01R-1839-07	TCGA-AA-3517-11A-01R-A32Z-07	TCGA-AA-3518-11A-01R-1672-07	TCGA-AA-3697-11A-01R-1723-07	TCGA-AA-3534-11A-01R-A32Z-07	TCGA-A6-2685-11A-01R-A32Z-07	TCGA-A6-2683-11A-01R-A32Z-07	TCGA-CM-6169-01A-11R-1653-07	TCGA-AA-3697-01A-01R-1723-07	TCGA-A6-A56B-01A-31R-A28H-07	TCGA-A6-5659-01A-01R-1653-07	TCGA-AA-3930-01A-01R-1022-07	TCGA-DM-A1DA-01A-11R-A155-07	TCGA-CK-6747-01A-11R-1839-07	TCGA-AA-3851-01A-01R-1022-07	TCGA-D5-5538-01A-01R-1653-07	TCGA-AA-3858-01A-01R-0905-07	TCGA-AA-3833-01A-01R-0905-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AD-6548-01A-11R-1839-07	TCGA-AM-5820-01A-01R-1653-07	TCGA-CM-5344-01A-21R-1723-07	TCGA-AZ-6603-01A-11R-1839-07	TCGA-D5-6926-01A-11R-1928-07	TCGA-AZ-5407-01A-01R-1723-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-A6-5666-01A-01R-1653-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01S-01A-21R-A083-07	TCGA-AA-3713-01A-21R-1723-07	TCGA-CA-5797-01A-01R-1653-07	TCGA-NH-A5IV-01A-42R-A37K-07	TCGA-D5-6531-01A-11R-1723-07	TCGA-G4-6304-01A-11R-1928-07	TCGA-AA-3548-01A-01R-1873-07	TCGA-AY-4071-01A-01R-1113-07	TCGA-D5-6924-01A-11R-1928-07	TCGA-A6-2681-01A-01R-1410-07	TCGA-A6-2679-01A-02R-1410-07	TCGA-CM-5868-01A-01R-1653-07	TCGA-CM-6167-01A-11R-1653-07	TCGA-G4-6626-01A-11R-1774-07	TCGA-AA-3815-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3495-01A-01R-1410-07	TCGA-3L-AA1B-01A-11R-A37K-07
ANK2	0.4957	0.7705	1.2296	1.6038	0.7371	4.6917	1.3638	1.8909	1.2293	0.9104	1.3216	0.8742	4.8929	0.5973	0.7792	1.531	2.8088	0.4065	1.053	5.432	1.4101	0.8567	0.7573	1.4746	0.585	0.7537	0.5888	2.1323	7.3239	3.1963	2.8406	0.5336	2.6257	0.8223	1.2279	1.334	0.7577	0.8827	0.6763	0.5653	0.0862	0.2023	0.2067	0.1315	0.0086	0.1088	0.1027	0.144	0.1367	0.2749	0.2163	0.2175	0.2125	0.1996	0.3517	0.2965	0.0789	0.3652	0.0137	0.0267	0.0022	0.1746	0.1438	0.0564	0.2981	0.0592	0.0871	0.1453	0.3109	0.3509	0.0527	0.1564	2.2837	0.033	0.1016	0.1152	0.1013	0.4285
PCDH17	0.3439	0.2085	0.4014	0.302	0.3128	1.066	0.3303	0.8094	0.1952	0.2543	0.2984	0.3345	0.5599	0.2156	0.3231	0.4248	0.6788	0.1748	0.3357	0.8441	0.3454	0.2369	0.2984	0.2664	0.1375	0.252	0.1475	0.586	0.9686	0.7128	0.635	0.1714	0.6327	0.284	0.3904	0.8783	0.3121	0.2896	0.2963	4.2596	0.6046	1.0267	0.8357	1.0318	0.2477	0.5906	0.5396	1.384	0.6116	0.6491	0.4775	1.5407	0.8937	0.9356	1.1508	1.47	0.2994	0.7381	0.8421	0.246	0.1119	0.6938	0.9544	0.9359	0.5053	0.1598	0.2247	0.5154	2.2776	1.0923	0.0366	0.3296	4.5687	0.5806	0.6555	1.0185	0.7585	0.749
CACNA1H	1.3394	1.9395	1.6529	6.1589	3.4234	22.185	4.3991	4.8368	6.3938	2.1875	4.9908	2.7857	18.3717	1.6268	2.6661	3.5544	13.3426	1.259	5.2869	25.5251	2.4012	4.414	1.883	8.9528	2.097	1.7211	1.8184	11.3471	59.9553	13.6702	10.2114	0.9787	7.3887	1.492	3.8938	6.845	2.5499	2.8149	1.2495	2.9103	1.6187	2.6488	2.0187	0.7175	0.5546	1.6328	1.463	0.9283	2.3703	5.3562	6.0522	1.7606	3.9127	2.7021	4.0343	5.0421	0.783	2.7739	0.1681	0.4537	0.6123	22.2879	1.9637	0.8917	1.9043	0.4201	2.027	2.5744	2.8893	5.8413	1.1034	1.6511	16.0385	0.7079	0.7582	0.8169	0.7051	2.8946
GLI3	0.3138	0.411	0.6119	0.7287	0.5672	4.0877	0.8531	0.9405	0.6511	0.4185	0.7549	0.4527	2.5422	0.3007	0.3306	0.6333	1.6472	0.2048	0.7986	2.889	0.4497	0.6922	0.3845	1.0194	0.207	0.399	0.3161	1.8865	5.4785	2.4673	1.2115	0.2332	1.5429	0.3726	0.6812	0.7618	0.4589	0.41	0.33	0.8115	0.1061	0.6066	0.2733	0.259	0.0626	0.1515	0.1376	0.3199	0.2834	0.282	0.4588	0.6483	0.2022	0.7103	0.4245	0.8973	0.0275	0.4941	0.0387	0.0315	0.0292	0.2147	0.2603	0.2437	0.3384	0.0227	0.2291	0.2555	0.8106	0.5481	0.0667	0.3903	3.1623	0.1244	0.1776	0.1862	0.1122	0.4347
TSHZ3	0.5846	0.8963	0.8769	1.2559	1.277	4.3515	1.6315	1.6759	1.4634	0.658	1.2841	0.8041	3.6996	0.5819	0.8212	1.6349	2.9835	0.469	1.351	5.1666	1.1432	1.126	0.5709	1.6449	0.8062	0.7192	0.7591	2.5699	9.7245	3.4291	2.112	0.6007	3.1844	0.8599	1.1426	1.649	0.9188	0.7841	0.7636	2.2756	0.4792	0.9514	0.8311	0.6308	0.1622	0.542	0.394	0.924	0.6258	0.9273	0.813	1.0435	0.798	1.1493	1.0941	1.8424	0.2506	0.8408	0.1535	0.0918	0.0702	0.6634	0.8502	0.4465	0.6071	0.1782	0.4287	0.6133	1.5871	0.8836	0.7226	0.7632	5.6761	0.2522	0.4473	0.3798	0.5679	0.8432
MXRA5	2.3859	5.9987	5.8039	1.8895	7.5274	5.6292	4.0941	6.9811	1.8157	4.3434	4.8065	4.9998	3.9184	3.7433	4.6268	7.8033	5.5836	2.6782	1.6086	6.3748	8.3432	5.769	2.2575	5.04	1.5747	5.8831	5.3288	5.4743	6.5255	3.2359	6.2108	3.8201	2.1399	3.9033	4.5285	3.8719	5.7895	3.8363	4.1784	41.2549	7.5242	13.1573	8.4405	3.568	1.3031	7.6212	3.1886	11.8055	5.2351	6.0692	5.3704	23.5921	3.8569	14.6646	14.1044	44.057	2.9119	8.7859	1.4054	1.0416	1.1315	5.5276	10.9617	6.3875	13.9143	1.678	2.5347	5.2512	28.4983	10.7875	2.5976	11.5368	13.5119	2.5465	4.6332	16.2849	3.6205	8.4009
COL12A1	1.7197	3.2156	3.0523	7.0678	2.5879	9.0512	5.2317	7.2776	2.1613	3.0754	3.4377	3.6594	10.8962	1.4321	4.2199	5.7163	7.1567	1.2479	3.3167	10.5567	4.2051	4.8348	2.2257	4.6061	2.1633	2.4166	1.8248	10.9645	25.641	9.9837	6.3096	1.1192	4.2556	2.1698	3.8273	4.4477	3.4376	3.3544	1.9361	36.675	10.7974	42.8478	17.571	9.673	5.6733	24.0274	10.7856	17.7461	17.163	21.8968	9.4949	29.6849	9.445	43.3765	26.3322	70.6705	4.2438	24.5359	4.1869	2.9894	3.2608	13.3354	23.2132	17.8896	13.0466	1.8694	11.9975	12.5347	69.5159	18.1762	3.6624	22.1335	30.9037	7.2378	8.9968	12.0201	9.7111	18.7004
LAMA1	2.025	1.7342	1.5818	1.4281	1.5421	0.3212	0.9078	0.5562	1.8184	1.49	0.6124	1.4981	0.6922	0.5482	0.6242	0.2012	0.6081	1.864	3.4766	0.8792	0.5027	1.3547	2.0482	1.3853	1.0343	1.4417	0.5081	0.325	0.0984	1.0839	0.2862	0.5151	1.573	0.6825	2.0017	1.2814	1.1936	1.1722	1.2922	0.1358	0.2359	0.1475	0.0654	0.1083	0.2007	0.2455	0.1996	0.1202	0.188	0.1505	0.8389	0.2653	0.1267	0.1455	0.1794	0.3236	0.2893	0.1241	0.0337	0.0582	0.0818	0.2751	0.0768	1.096	0.0571	0.0733	0.1084	0.1868	0.2146	0.2696	0.058	0.134	0.2628	0.1332	0.0412	0.0698	0.1917	0.0469
FCGBP	266.6584	529.2204	470.2432	104.8201	202.8394	307.7729	524.2844	656.5855	118.2504	289.323	568.2772	310.2042	149.7988	366.3544	266.5649	201.7367	251.8577	193.7258	179.3403	166.8999	405.9335	390.3425	593.9321	371.7101	66.15	515.7055	520.8496	209.4904	26.209	195.8456	68.7279	302.054	55.2609	493.0679	347.9192	213.9258	480.0563	420.804	478.112	0.9761	40.4901	2.7635	0.8917	17.6993	9.2232	678.4726	121.1258	1.3567	32.1812	67.9426	228.9395	58.5545	1.6223	6.7734	12.5664	1.323	179.2048	17.8001	0.6551	4.1029	69.1368	138.2602	0.5989	66.6277	1.0477	10.2437	10.8789	13.8136	2.74	38.7127	55.8923	2.4506	41.2419	2.0694	20.3093	3.3965	28.5279	170.3006
COL11A1	0.0827	0.0309	0.0876	0.045	0.0562	0.0875	0.0549	0.0529	0.0477	0.0552	0.0389	0.0489	0.1026	0.0108	0.0615	0.0236	0.0153	0.0166	0.0425	0.0608	0.0349	0.0855	0.0413	0.0471	0.0091	0.0297	0.0503	0.1144	0.1764	0.0611	0.0557	0.0268	0.0855	0.0198	0.0405	0.0288	0.0326	0.0519	0.0116	6.4488	0.4866	6.1468	2.1349	1.4741	0.9604	2.252	2.1478	10.2729	2.9788	3.4638	2.0539	6.4415	2.281	15.6525	3.4135	24.4133	0.4082	5.6406	1.5016	0.2928	0.2706	1.3239	3.7831	14.4639	7.6155	1.2785	2.2026	2.4307	18.5165	4.5576	0.6919	7.2031	5.4418	1.2251	2.1568	1.744	0.7822	0.7891
PRKDC	3.2215	8.9212	14.0724	4.3027	6.4568	10.182	7.7234	13.3538	3.6034	6.4509	8.0736	8.6226	7.9868	10.6575	6.5802	10.9752	8.0122	3.9246	6.1714	11.0415	8.4122	8.2338	4.2613	5.6758	3.9346	9.1695	8.3989	12.7015	9.0964	7.7554	9.8652	7.3295	4.2443	7.6995	6.4111	8.7889	9.5829	11.2028	10.1498	34.7732	21.9416	23.3447	23.3606	26.595	25.6002	21.3841	12.381	19.3252	25.822	5.8041	5.5648	22.0889	22.7228	11.773	25.3853	33.3159	22.181	14.24	20.3661	17.502	58.1793	39.0948	38.295	21.8751	19.3774	15.8866	8.499	6.8317	35.0566	7.8985	4.7789	21.9461	17.1818	34.5437	7.6242	18.5268	28.0595	19.3548
APOB	0.0669	0.0158	0.0246	488.473	0.0475	0.0955	0.0174	0.0564	0.0195	0.0237	0.0197	0.3671	0.1089	0.0053	0.0145	0.009	0.0693	0.0015	0.1211	0.1779	0.0046	0.0493	0.4529	0.4285	0.0056	0.1669	0.0116	0.1148	0.0963	0.0783	0.0437	0	0.0314	0.0051	0.0166	0.0109	0.0154	0.0404	0.5268	0.0182	0	0.0042	0.0104	0	0	0.0012	0.0263	0.0051	0.0132	0.0245	0.9404	0.0069	0.0437	0.0176	0.0088	0.0046	0	0.0194	0.0034	0.2894	0	0.0014	0.0181	0.0028	0.0016	0	0.5611	0.0032	0.0342	0.122	0	0.0086	0.0381	0.0031	3.9743	0.0239	0	0.0032
AKAP9	7.485	10.28	7.792	8.8055	10.4323	3.872	9.0604	8.864	5.2614	8.7521	9.1639	7.6076	4.8553	8.9743	7.3961	4.8795	5.1282	8.7235	8.0969	3.803	6.8196	9.0998	10.2255	5.6802	3.2451	8.8551	7.7687	6.7435	2.1697	7.1004	5.7595	7.6589	2.4814	6.1083	7.3042	6.2716	7.5695	6.5119	7.7483	5.4138	3.1569	4.3538	4.6712	2.4215	3.0909	3.2608	2.2219	2.9687	1.0109	1.6377	0.5086	2.7939	5.2003	1.8784	3.9345	4.3193	2.9752	1.416	2.3756	3.7565	1.0181	7.9462	2.5989	4.248	2.71	2.6513	1.475	3.2927	4.7556	1.5	0.5456	2.5265	4.2632	2.93	1.7671	2.1518	4.5148	6.0855
VCAN	1.2311	1.8671	2.4004	1.1407	3.0687	4.8231	2.0497	7.1247	1.0192	1.7037	1.7931	2.3589	5.2785	1.1898	1.8472	3.6543	2.7602	0.7776	1.5355	4.0406	2.2186	1.9228	1.0493	2.0894	1.2334	1.907	2.3811	5.6796	6.5454	3.2051	3.4002	1.4652	1.4946	1.5237	1.7761	3.6742	2.3959	1.8075	2.9019	24.2621	2.9073	9.5765	5.8211	3.9658	2.145	6.3747	4.2728	10.5087	3.6366	6.079	4.0784	8.1977	6.5666	14.8781	9.3202	18.9067	0.8421	8.3971	2.2896	0.8289	0.7283	5.8016	5.0223	6.9049	6.2733	0.932	3.2764	3.9335	20.7393	7.407	1.1915	9.1123	22.2872	1.546	2.9425	4.2182	4.1568	6.0167
CHD7	1.2348	2.0536	3.0316	1.3324	2.2851	2.3184	2.089	2.3723	1.2398	1.9118	2.2532	1.5939	1.1296	1.8893	2.0886	2.5294	1.5086	1.293	1.9295	2.0574	1.6991	2.21	1.4595	1.5249	0.6295	1.7063	1.974	2.6922	1.092	1.4206	2.0799	2.1475	1.0318	2.0899	1.6929	1.4269	2.4838	2.0106	2.1259	6.8512	3.8889	5.3226	4.9384	3.6098	5.3795	4.4461	2.1972	4.4407	3.814	1.1491	1.0029	4.3239	3.3102	4.4004	6.1253	10.4328	3.7615	2.3894	3.4158	3.6414	5.9947	7.3956	3.5028	9.0045	3.7346	5.2242	1.7045	1.5193	6.987	2.601	0.8743	4.2757	3.041	5.0794	2.1536	2.8155	4.3361	6.6195
TNXB	1.888	3.682	4.2591	3.8736	4.9093	10.2821	10.7691	12.1354	1.1689	8.0662	5.0983	7.8104	8.8067	2.0076	1.8395	16.9387	9.8372	1.3033	3.0833	25.1595	6.8511	7.6145	3.6689	10.4525	0.7632	5.7122	2.4459	18.3748	18.973	9.3677	17.2864	1.7395	1.4148	5.297	8.5626	4.1114	5.5722	2.9033	3.9686	1.0186	0.1758	0.7776	0.3078	0.2117	0.1407	0.2073	0.1286	0.3122	0.3165	0.512	0.811	0.5161	0.3564	0.2961	0.6341	0.807	0.1782	0.4919	0.115	0.0615	0.059	0.9324	0.6696	0.2862	0.3175	0.2107	0.1395	0.3133	1.8545	0.633	0.3857	0.1854	3.8888	0.1706	0.1335	0.0668	0.0324	1.0586
SCN9A	1.0262	0.94	1.0772	1.3025	1.6193	1.6606	1.606	1.3802	1.4786	0.7652	0.9772	0.8763	1.4352	0.7319	0.7777	1.6684	1.078	0.5941	1.4022	1.7922	0.8249	1.419	0.5129	0.9926	0.3624	0.7196	1.2018	1.3698	1.8494	1.6993	1.4966	0.7885	1.3781	0.8351	1.0073	0.6195	0.8525	1.4291	0.9745	0.2123	0.0396	0.0485	0.0949	0.0788	0.0057	0.0284	0.0524	0.1079	0.028	0.1711	0.0517	0.2036	0.2929	0.1314	0.102	0.1488	0.0084	0.1239	0.0237	0	0	0.3452	0.1169	0.024	0.1947	0.0032	0.0438	0.0438	0.1012	0.1032	0	0.0696	1.3592	0.01	0.1054	0.0349	0.0905	0.0946
